Application_ID,Borrower_Name,Loan_Type,Loan_Purpose,Property_Type,Application_Date,Approval_Date,Closing_Date,Loan_Amount,Property_Value,LTV_Ratio,Interest_Rate,Tenure_Years,Credit_Score,DTI_Ratio,Processing_Time_Days,Fees,Underwriter,Processor,Status,State,Originator,Channel
APP5001,Borrower 1,Conventional,Refinance,Multi-Family,2024-04-12,2024-04-20,2024-05-16,409178,559057,73.19,6.92,20,702,43,27,5926,Underwriter I,Processor J,Approved,AZ,Agent Team D,Online
APP5002,Borrower 2,Conventional,Refinance,Condo,2024-03-28,2024-04-06,2024-04-21,341335,387358,88.12,7.08,20,652,26,16,3933,Underwriter J,Processor O,Approved,NJ,Agent Team G,Online
APP5003,Borrower 3,VA,Purchase,Single Family,2024-01-21,2024-01-26,2024-02-18,497449,658057,75.59,6.68,20,769,40,19,1689,Underwriter B,Processor H,Approved,NJ,Agent Team L,Online
APP5004,Borrower 4,Jumbo,Refinance,Condo,2024-02-20,,,741723,828609,89.51,8.15,20,730,29,23,2146,Underwriter H,Processor O,In Review,NV,Agent Team E,Retail
APP5005,Borrower 5,VA,Refinance,Townhouse,2024-01-21,,,406840,524153,77.62,8.04,30,659,38,22,3541,Underwriter F,Processor K,In Review,NJ,Agent Team E,Retail
APP5006,Borrower 6,FHA,Purchase,Single Family,2024-01-09,2024-01-23,2024-02-24,927089,1081332,85.74,5.77,20,787,31,16,4056,Underwriter F,Processor M,Approved,CA,Agent Team B,Direct
APP5007,Borrower 7,Conventional,Purchase,Condo,2024-01-08,,,256530,366607,69.97,6.25,20,649,32,8,4573,Underwriter J,Processor D,In Review,TX,Agent Team H,Direct
APP5008,Borrower 8,VA,Purchase,Luxury Home,2024-05-13,2024-05-23,2024-06-13,465139,504831,92.14,8.1,30,643,26,14,3481,Underwriter H,Processor I,Approved,TX,Agent Team J,Online
APP5009,Borrower 9,Conventional,Purchase,Townhouse,2024-01-14,,,685822,756219,90.69,5.63,30,789,32,25,1837,Underwriter J,Processor M,Declined,AZ,Agent Team K,Retail
APP5010,Borrower 10,Conventional,Purchase,Townhouse,2024-04-20,2024-04-29,2024-06-03,424329,593972,71.44,5.88,30,756,39,17,1564,Underwriter H,Processor O,Approved,AZ,Agent Team D,Retail
APP5011,Borrower 11,FHA,Purchase,Condo,2024-03-29,2024-04-09,2024-04-29,270151,433918,62.26,5.02,30,738,43,21,1891,Underwriter E,Processor G,Approved,CO,Agent Team L,Wholesale
APP5012,Borrower 12,Conventional,Purchase,Townhouse,2024-02-02,,,162666,231326,70.32,7.96,15,640,31,13,6375,Underwriter I,Processor H,In Review,NJ,Agent Team G,Retail
APP5013,Borrower 13,Conventional,Purchase,Townhouse,2024-02-02,2024-02-13,2024-03-18,751661,905345,83.02,7.33,30,703,46,7,6556,Underwriter A,Processor G,Approved,CO,Agent Team H,Retail
APP5014,Borrower 14,Conventional,Purchase,Townhouse,2024-04-10,2024-04-17,2024-04-29,364020,492826,73.86,7.47,15,702,33,19,6634,Underwriter B,Processor B,Approved,WA,Agent Team H,Online
APP5015,Borrower 15,Conventional,Purchase,Condo,2024-03-30,2024-04-13,2024-05-22,403618,483633,83.46,7.04,30,651,28,9,3178,Underwriter C,Processor G,Approved,CA,Agent Team I,Online
APP5016,Borrower 16,VA,Refinance,Multi-Family,2024-01-29,2024-02-06,2024-03-01,474767,580217,81.83,7.22,15,627,26,14,3097,Underwriter A,Processor G,Approved,AZ,Agent Team E,Wholesale
APP5017,Borrower 17,Conventional,Refinance,Luxury Home,2024-05-13,2024-05-29,2024-07-07,917595,973534,94.25,7.86,15,674,47,11,3737,Underwriter B,Processor N,Approved,IL,Agent Team K,Wholesale
